Date,Description,Amount
2024-10-22,Pharmacy,136.27
2024-03-29,Pharmacy,17.28
2024-08-11,Online Store,301.17
2024-09-15,Fuel,284.28
2024-11-17,Restaurant,-340.95
2024-06-14,Online Store,-474.36
2024-01-06,Utilities,118.1
2024-10-05,Fuel,-474.71
2024-03-07,RideShare,277.59
2024-04-05,Online Store,-278.24
2024-04-09,Streaming Service,226.31
2024-07-12,Restaurant,-225.04
2024-03-14,Grocery,79.35
2024-02-22,Fuel,95.89
2024-02-24,Coffee Shop,394.6
2024-02-17,Fuel,-138.6
2024-04-16,Pharmacy,295.44
2024-07-30,Fuel,125.68
2024-04-17,Pharmacy,-186.42
2024-08-18,Coffee Shop,-489.86
2024-04-01,Utilities,354.81
2024-03-01,Gym,-16.09
2024-11-10,Utilities,-341.61
2024-05-10,Fuel,-470.44
2024-01-12,Streaming Service,-347.65
2024-07-05,Fuel,-470.5
2024-03-11,Online Store,191.6
2024-03-05,Restaurant,-300.76
2024-02-17,Gym,151.92
2024-08-27,RideShare,446.35
2024-04-08,Restaurant,187.06
2024-05-23,Pharmacy,293.15
2024-10-27,Restaurant,-294.17
2024-09-06,Pharmacy,-76.26
2024-05-19,Gym,107.3
2024-08-07,Online Store,-126.04
2024-11-19,Fuel,389.45
2024-09-18,Restaurant,-206.53
2024-11-26,Streaming Service,-470.06
2024-04-02,Gym,-314.09
2024-05-05,Fuel,-128.34
2024-03-15,Gym,-181.41
2024-01-06,Gym,67.47
2024-06-13,Online Store,-114.41
2024-11-04,Online Store,-397.08
2024-05-22,Utilities,307.43
2024-12-09,Fuel,146.27
2024-12-15,Pharmacy,-179.88
2024-04-10,Grocery,-1.35
2024-05-20,Pharmacy,-47.21
2024-11-03,Gym,-263.58
2024-01-11,"Restaurant, Special",283.31
2024-10-21,Grocery,-215.63
2024-07-25,Grocery,418.03
2024-01-21,Gym,-430.55
2024-02-18,Pharmacy,-225.33
2024-06-26,Pharmacy,274.61
2024-09-09,"Utilities, Special",-201.56
2024-08-20,RideShare,467.15
2024-03-03,Gym,-397.26
2024-04-24,Grocery,-361.27
2024-06-14,Pharmacy,-411.98
2024-07-07,Streaming Service,434.11
2024-01-27,Restaurant,-456.92
2024-01-25,Restaurant,-170.67
2024-11-09,Pharmacy,-329.66
2024-03-11,Utilities,-373.71
2024-03-16,Utilities,465.84
2024-07-30,RideShare,21.76
2024-05-03,Utilities,-9.9
2024-05-23,Gym,-17.29
2024-02-17,Restaurant,211.38
2024-06-29,Streaming Service,-257.62
2024-11-27,Online Store,-424.86
2024-09-10,Grocery,170.5
2024-08-27,Pharmacy,-395.47
2024-04-16,Utilities,13.93
2024-06-09,Restaurant,155.29
2024-09-15,Fuel,-281.22
2024-07-05,Pharmacy,367.86
2024-09-19,Online Store,-312.05
2024-05-22,Pharmacy,-192.85
2024-10-22,Fuel,376.2
2024-02-26,"Online Store, Special",-39.15
2024-05-16,Grocery,30.89
2024-06-29,Restaurant,50.3
2024-06-30,Pharmacy,-103.07
2024-08-08,Streaming Service,-58.66
2024-07-08,"Fuel, Special",-117.48
2024-08-04,Online Store,-97.31
2024-10-31,Restaurant,-6.38
2024-08-09,Fuel,146.34
2024-02-26,Online Store,395.06
2024-10-21,Restaurant,32.13
2024-05-21,Online Store,199.51
2024-07-26,Pharmacy,-280.11
2024-12-20,Restaurant,-328.97
2024-04-14,Gym,205.85
2024-05-27,Grocery,3.24
2024-12-24,Utilities,-194.68
2024-12-18,Online Store,181.44
2024-03-26,Coffee Shop,-44.78
2024-01-07,RideShare,-479.17
2024-05-15,Fuel,260.26
2024-01-05,Utilities,-26.17
2024-01-01,RideShare,-27.43
2024-01-24,Grocery,490.41
2024-04-26,Streaming Service,254.99
2024-02-18,Fuel,236.19
2024-08-19,RideShare,489.79
2024-05-11,RideShare,-41.25
2024-06-29,Restaurant,391.37
2024-12-05,Utilities,-230.06
2024-09-22,Grocery,-89.68
2024-04-22,Coffee Shop,-469.1
2024-10-22,Pharmacy,244.37
2024-04-09,Pharmacy,465.45
2024-11-16,Streaming Service,-50.73
2024-09-26,Coffee Shop,179.07
2024-06-18,Pharmacy,445.27
2024-05-21,Restaurant,79.52
2024-12-25,Gym,-377.04
2024-08-20,Utilities,292.34
2024-05-27,Fuel,-1.07
2024-12-16,Coffee Shop,-349.77
2024-05-28,Utilities,-337.39
2024-09-06,Restaurant,-205.27
2024-08-20,Grocery,325.47
2024-03-04,Grocery,-494.91
2024-06-29,"Grocery, Special",-362.28
2024-05-25,Streaming Service,268.89
2024-03-20,Fuel,-357.36
2024-04-10,Pharmacy,-419.28
2024-04-22,Grocery,-145.37
2024-12-13,Pharmacy,466.91
2024-02-20,Restaurant,97.04
2024-03-29,Utilities,375.93
2024-10-23,Coffee Shop,-300.49
2024-03-10,Pharmacy,-198.94
2024-02-13,Restaurant,128.32
2024-10-06,Coffee Shop,375.92
2024-08-11,Fuel,-58.1
2024-06-09,Streaming Service,212.6
2024-08-27,Gym,-79.49
2024-07-29,"RideShare, Special",58.91
2024-08-03,Fuel,115.21
2024-06-03,Online Store,-126.89
2024-11-13,Streaming Service,377.81
2024-01-28,Pharmacy,170.08
2024-08-24,Streaming Service,-445.65
2024-01-29,Restaurant,149.88
2024-06-19,Utilities,-209.42
2024-09-03,Gym,-378.56
2024-10-26,Streaming Service,-446.98
2024-04-14,Streaming Service,240.42
2024-09-10,Coffee Shop,175.68
2024-03-20,Restaurant,219.14
2024-01-04,RideShare,-299.3
2024-02-04,Grocery,379.9
2024-09-23,Fuel,-396.39
2024-01-13,Streaming Service,-444.35
2024-03-03,Restaurant,482.7
2024-04-30,Streaming Service,112.76
2024-08-12,Utilities,-353.75
2024-01-12,Coffee Shop,244.6
2024-05-03,Coffee Shop,199.63
2024-04-12,RideShare,-210.55
2024-02-21,Utilities,167.7
2024-07-19,Pharmacy,-392.66
2024-08-01,Pharmacy,-216.58
2024-03-02,Utilities,80.54
2024-01-18,Utilities,408.11
2024-06-30,Coffee Shop,223.07
2024-05-21,Grocery,-142.25
2024-09-14,Online Store,206.22
2024-07-18,Streaming Service,155.92
2024-06-29,Utilities,215.18
2024-03-12,Restaurant,158.44
2024-07-20,Fuel,145.13
2024-07-11,RideShare,-319.63
2024-12-28,Streaming Service,25.43
2024-03-07,Gym,80.72
2024-10-26,Utilities,-432.43
2024-01-16,Coffee Shop,165.26
2024-09-12,RideShare,-268.47
2024-05-01,Fuel,-326.0
2024-07-15,Pharmacy,-438.07
2024-05-08,"Fuel, Special",249.93
2024-08-14,Gym,340.68
2024-03-30,Gym,-50.49
2024-03-09,Utilities,-304.28
2024-09-08,RideShare,-274.5
2024-03-23,Pharmacy,308.67
2024-04-08,Fuel,129.12
2024-12-08,Fuel,310.01
2024-01-03,Gym,68.3
2024-02-06,Gym,229.98
2024-11-24,Streaming Service,332.4
2024-10-19,RideShare,-143.51
2024-10-13,Coffee Shop,-61.12
2024-11-16,Pharmacy,69.15
2024-03-06,Streaming Service,-382.07
2024-04-28,Grocery,-169.08
2024-04-24,Restaurant,-248.62
2024-12-26,Gym,371.47
2024-05-27,Fuel,-258.6
2024-09-22,Utilities,-100.78
2024-01-30,Streaming Service,-389.13
2024-08-29,Restaurant,-467.73
2024-08-03,Restaurant,388.03
2024-01-31,Coffee Shop,316.76
2024-06-17,Grocery,-427.09
2024-10-15,Utilities,265.57
2024-01-19,Gym,449.91
2024-11-02,Utilities,387.52
2024-09-02,Coffee Shop,-458.26
2024-01-19,RideShare,150.34
2024-08-08,RideShare,349.83
2024-04-26,Grocery,-473.65
2024-04-10,Streaming Service,-120.61
2024-12-16,Grocery,-447.86
2024-07-12,Coffee Shop,-73.17
2024-03-11,Fuel,397.15
2024-07-07,Gym,-63.48
2024-01-30,Online Store,88.62
2024-04-26,Pharmacy,388.34
2024-10-01,"Utilities, Special",301.77
2024-05-07,Grocery,-373.28
2024-04-02,"Restaurant, Special",-150.33
2024-12-01,Online Store,-370.28
2024-07-22,RideShare,156.59
2024-02-09,Restaurant,-294.14
2024-12-27,Gym,358.76
2024-08-15,Restaurant,280.21
2024-05-29,Online Store,-232.46
2024-12-23,Streaming Service,-446.0
2024-07-29,Utilities,-421.55
2024-03-11,Streaming Service,241.91
2024-04-17,Fuel,316.38
2024-03-13,Grocery,198.34
2024-11-28,RideShare,-478.71
2024-01-18,Restaurant,-115.82
2024-02-13,Grocery,109.75
2024-09-10,Grocery,-115.34
2024-01-23,Online Store,-315.57
2024-08-08,Streaming Service,-194.85
2024-10-04,Gym,410.05
2024-06-21,Restaurant,90.96
2024-01-15,Gym,121.53
2024-08-06,Grocery,53.29
2024-12-13,Restaurant,437.98
2024-08-25,Pharmacy,68.3
2024-09-22,Restaurant,-118.71
2024-05-01,Coffee Shop,-219.3
2024-12-15,Restaurant,-250.07
2024-10-04,Restaurant,-105.4
2024-11-11,Restaurant,159.23
2024-11-30,"Utilities, Special",-193.1
2024-12-04,Gym,347.59
2024-08-15,"RideShare, Special",-491.13
2024-01-19,Gym,344.33
2024-04-21,Pharmacy,438.83
2024-05-21,Utilities,453.29
2024-08-13,Coffee Shop,286.74
2024-05-12,RideShare,130.34
2024-03-16,Utilities,-267.33
2024-12-01,Grocery,6.72
2024-08-13,Utilities,53.41
2024-04-26,Grocery,491.97
2024-05-11,Grocery,357.49
2024-06-29,Streaming Service,100.58
2024-06-28,Fuel,-56.19
2024-09-18,Fuel,-174.21
2024-07-09,Pharmacy,-73.52
2024-05-24,"Coffee Shop, Special",106.97
2024-07-03,Gym,397.39
2024-07-10,RideShare,-205.94
2024-01-16,Coffee Shop,-209.13
2024-03-17,"Utilities, Special",109.04
2024-06-09,Streaming Service,242.04
2024-10-24,Gym,-121.16
2024-10-25,Grocery,-349.93
2024-11-28,Fuel,458.63
2024-04-24,Utilities,74.44
2024-10-07,Pharmacy,-378.76
2024-09-27,Grocery,159.2
2024-09-23,RideShare,-304.98
2024-10-21,Restaurant,-171.32
2024-07-04,Online Store,248.19
2024-02-29,Online Store,457.61
2024-07-28,Gym,60.46
2024-02-09,Gym,105.22
2024-08-17,Pharmacy,327.82
2024-03-05,Streaming Service,409.27
2024-12-11,Utilities,105.55
2024-05-26,Gym,-418.49
2024-08-03,Streaming Service,76.01
2024-11-19,Online Store,376.41
2024-01-08,Coffee Shop,-236.62
2024-10-10,RideShare,-373.6
2024-01-18,"Pharmacy, Special",-333.06
2024-02-07,Coffee Shop,29.31
2024-07-17,Pharmacy,-97.68
2024-10-12,Online Store,-380.97
2024-06-21,Utilities,-392.23
2024-01-24,Fuel,-145.04
2024-08-17,Pharmacy,240.7
2024-08-11,Restaurant,200.11
2024-04-03,Utilities,436.62
2024-02-12,Coffee Shop,93.55
2024-07-08,RideShare,-61.41
2024-09-17,Utilities,273.01
2024-04-28,Restaurant,-451.71
2024-09-22,Streaming Service,344.07
2024-08-06,Restaurant,-181.42
2024-04-01,"Coffee Shop, Special",445.05
2024-04-17,Pharmacy,75.14
2024-11-11,Gym,-215.21
2024-03-01,Restaurant,-61.08
2024-03-27,Restaurant,-240.57
2024-11-06,Fuel,166.43
2024-03-13,Fuel,338.79
2024-03-27,Grocery,-460.25
2024-10-03,Streaming Service,-493.33
2024-01-14,Gym,441.81
2024-10-19,Pharmacy,20.89
2024-08-20,Restaurant,216.25
2024-03-02,RideShare,-6.74
2024-02-14,Coffee Shop,231.63
2024-02-29,Gym,244.28
2024-04-23,Fuel,7.06
2024-05-21,RideShare,12.84
2024-02-07,Gym,-461.64
2024-02-21,Streaming Service,341.43
2024-12-04,Grocery,127.29
2024-05-05,Coffee Shop,372.11
2024-04-22,Online Store,-348.57
2024-04-05,RideShare,-301.43
2024-02-15,Streaming Service,249.45
2024-01-02,Pharmacy,57.74
2024-04-16,"Coffee Shop, Special",187.98
2024-11-10,Pharmacy,-265.28
2024-06-27,RideShare,454.34
2024-06-02,Online Store,167.98
2024-09-07,Pharmacy,43.41
2024-05-31,Fuel,462.92
2024-05-27,Pharmacy,-174.6
2024-12-05,Pharmacy,-35.26
2024-06-12,Fuel,-101.91
2024-03-06,RideShare,364.01
2024-11-03,Pharmacy,-471.04
2024-05-17,Streaming Service,350.99
2024-07-28,Grocery,-176.81
2024-12-11,Gym,309.03
2024-08-05,Pharmacy,-445.37
2024-09-05,Online Store,318.52
2024-06-06,RideShare,72.51
2024-03-26,Streaming Service,125.29
2024-11-10,Utilities,104.96
2024-01-11,Grocery,-409.75
2024-12-26,Gym,266.84
2024-10-10,Fuel,18.65
2024-07-04,Streaming Service,-343.01
2024-10-01,Pharmacy,-270.67
2024-03-23,Gym,-284.38
2024-05-07,"Grocery, Special",-479.97
2024-09-26,Fuel,291.34
2024-01-22,Coffee Shop,-475.76
2024-11-19,"Online Store, Special",249.92
2024-07-12,Pharmacy,240.53
2024-05-18,Fuel,4.51
2024-12-26,"Pharmacy, Special",242.65
2024-10-04,Utilities,-404.44
2024-10-28,Pharmacy,105.69
2024-06-08,Gym,243.48
2024-06-03,Restaurant,-400.32
2024-12-01,Utilities,-208.76
2024-02-17,Online Store,61.0
2024-09-04,Restaurant,33.2
2024-05-05,"Pharmacy, Special",-2.97
2024-07-20,Gym,214.58
2024-08-19,Online Store,-475.11
2024-04-28,RideShare,63.15
2024-11-25,Restaurant,309.68
2024-02-12,Fuel,-292.32
2024-09-07,Utilities,-358.67
2024-11-11,RideShare,339.65
2024-04-29,Grocery,-247.98
2024-06-08,Gym,-463.49
2024-12-18,Utilities,371.43
2024-05-17,Online Store,294.7
2024-10-06,RideShare,152.01
2024-06-13,RideShare,14.43
2024-02-11,Fuel,-422.5
2024-03-06,Grocery,248.15
2024-03-26,Online Store,471.92
2024-01-20,Pharmacy,126.16
2024-09-25,RideShare,374.22
2024-08-02,"Pharmacy, Special",-382.42
2024-05-30,Restaurant,115.1
2024-07-09,Utilities,-358.48
2024-09-24,Online Store,452.0
2024-07-09,Streaming Service,-27.89
2024-04-17,Gym,220.13
2024-03-10,Coffee Shop,329.41
2024-01-06,Gym,-349.65
2024-02-04,Grocery,-312.33
2024-12-21,Fuel,-168.96
2024-02-01,Utilities,-343.55
2024-06-28,Streaming Service,-155.04
2024-01-08,Online Store,320.75
2024-08-06,Utilities,-132.73
2024-07-25,Restaurant,141.6
2024-04-13,Fuel,-397.02
2024-04-20,Restaurant,63.66
2024-03-05,Streaming Service,266.05
2024-06-18,Utilities,92.17
2024-05-21,Utilities,-26.59
2024-03-27,Grocery,489.09
2024-02-16,Utilities,-335.18
2024-01-01,Gym,469.84
2024-03-11,Streaming Service,-74.59
2024-08-29,Gym,260.01
2024-05-03,Streaming Service,273.92
2024-12-27,RideShare,338.65
2024-06-11,Streaming Service,105.38
2024-04-19,Coffee Shop,333.6
2024-12-30,Coffee Shop,60.49
2024-09-07,Restaurant,57.91
2024-08-10,Gym,366.14
2024-08-26,Gym,-286.22
2024-10-13,Online Store,-320.99
2024-01-06,Online Store,26.0
2024-01-03,Utilities,-405.89
2024-07-07,Restaurant,-487.01
2024-05-19,Grocery,141.67
2024-07-22,Grocery,204.26
2024-05-20,Grocery,323.33
2024-08-29,Utilities,-9.7
2024-08-30,Streaming Service,-461.81
2024-01-15,Utilities,-346.81
2024-03-31,Coffee Shop,334.06
2024-03-02,Grocery,210.59
2024-06-09,Fuel,-222.52
2024-04-09,Utilities,-167.34
2024-12-10,Gym,-330.79
2024-10-27,Gym,440.55
2024-07-25,Pharmacy,169.64
2024-02-03,Online Store,1.53
2024-05-16,Fuel,-455.49
2024-11-07,Online Store,-90.75
2024-11-21,Grocery,60.56
2024-03-01,Gym,336.11
2024-02-14,Utilities,-411.84
2024-02-16,Coffee Shop,-314.34
2024-10-29,Grocery,288.74
2024-04-21,Gym,377.2
2024-05-06,Restaurant,142.32
2024-04-07,Coffee Shop,-120.69
2024-05-26,Coffee Shop,65.04
2024-07-30,Online Store,-227.2
2024-04-12,Coffee Shop,-240.65
2024-08-13,Restaurant,-144.85
2024-07-05,Gym,23.04
2024-11-19,"Coffee Shop, Special",334.72
2024-07-16,Coffee Shop,-289.34
2024-12-25,Pharmacy,310.91
2024-05-27,Online Store,468.49
2024-10-09,Restaurant,273.41
2024-05-12,Online Store,-468.55
2024-02-29,Streaming Service,-313.57
2024-03-12,RideShare,-127.72
2024-07-12,Utilities,-177.63
2024-02-23,Gym,-492.1
2024-08-03,RideShare,147.88
2024-02-21,Coffee Shop,-193.72
2024-08-27,Streaming Service,-478.25
2024-11-11,RideShare,194.5
2024-07-23,RideShare,-247.43
2024-07-10,Utilities,178.56
2024-06-02,Grocery,377.43
2024-09-16,Fuel,274.07
2024-10-22,Pharmacy,-335.97
2024-03-26,Restaurant,465.24
2024-09-25,Online Store,67.99
2024-03-12,Coffee Shop,288.57
2024-01-28,Fuel,265.82
2024-06-26,RideShare,-39.41
2024-12-03,Coffee Shop,-327.93
2024-06-06,Fuel,357.76
2024-08-11,Fuel,-345.86
2024-10-11,"Gym, Special",-340.67
2024-02-21,RideShare,-105.95
2024-04-18,RideShare,331.35
2024-12-27,Online Store,-404.18
2024-03-06,Gym,-366.47
2024-06-16,Restaurant,230.37
2024-08-05,Utilities,-428.34
2024-09-07,"Utilities, Special",385.59
2024-04-01,Online Store,-160.15
2024-01-01,Utilities,-101.82
2024-02-09,Online Store,-312.03
2024-04-18,Restaurant,-160.41
2024-11-30,Coffee Shop,-215.04
2024-07-17,"RideShare, Special",458.51
2024-08-03,Coffee Shop,182.34
2024-02-24,RideShare,-153.71
2024-02-21,Pharmacy,-487.78
2024-06-12,Coffee Shop,-116.01
2024-08-20,Grocery,459.92
2024-07-24,Pharmacy,-197.05
2024-05-12,Fuel,302.42
2024-08-18,Streaming Service,-26.45
2024-06-20,Streaming Service,-388.33
2024-04-01,Pharmacy,-116.53
2024-12-11,Fuel,-162.88
2024-12-28,Utilities,14.9
2024-11-10,RideShare,-35.24
2024-01-21,Fuel,-39.75
2024-01-26,Utilities,-247.67
2024-06-21,Restaurant,-476.47
2024-05-16,Coffee Shop,-82.94
2024-08-16,Gym,-464.38
2024-02-27,Gym,31.27
2024-07-21,Online Store,34.99
2024-03-05,Coffee Shop,-68.9
2024-05-20,Gym,188.99
2024-05-04,Streaming Service,-459.36
2024-06-16,"Gym, Special",109.35
2024-11-22,Fuel,480.27
2024-02-10,Gym,249.27
2024-08-04,"Pharmacy, Special",450.36
2024-05-11,Fuel,-66.56
2024-02-29,Online Store,494.92
2024-11-11,Streaming Service,293.72
2024-12-21,Grocery,-27.08
2024-08-11,Restaurant,278.31
2024-05-21,Streaming Service,104.62
2024-04-02,Restaurant,-92.82
2024-01-10,Pharmacy,-225.23
2024-08-24,Utilities,134.86
2024-02-19,Online Store,209.01
2024-04-23,Fuel,228.16
2024-11-07,RideShare,134.77
2024-06-17,Streaming Service,429.87
2024-01-07,Gym,-153.63
2024-08-15,Coffee Shop,242.57
2024-04-17,Streaming Service,172.99
2024-05-10,"Pharmacy, Special",352.29
2024-02-10,RideShare,-154.7
2024-04-16,Streaming Service,-208.18
2024-06-10,RideShare,-470.44
2024-11-15,Utilities,-148.37
2024-08-08,Pharmacy,-476.59
2024-05-25,Streaming Service,489.68
2024-07-11,Streaming Service,107.12
2024-03-04,Fuel,-288.69
2024-02-26,Utilities,364.89
2024-07-24,Streaming Service,251.28
2024-08-02,Utilities,270.5
2024-11-18,Fuel,186.84
2024-11-20,Gym,32.51
2024-04-25,Pharmacy,-36.09
2024-08-18,Coffee Shop,-322.37
2024-05-27,Grocery,-165.95
2024-08-25,Coffee Shop,-401.68
2024-10-24,Pharmacy,-89.71
2024-11-21,Grocery,-361.43
2024-11-13,Streaming Service,99.57
2024-07-28,Grocery,-250.06
2024-10-18,RideShare,451.85
2024-01-12,Utilities,154.12
2024-10-09,Streaming Service,350.31
2024-03-23,RideShare,374.65
2024-03-30,RideShare,421.39
2024-06-14,Coffee Shop,394.45
2024-04-15,Utilities,-254.95
2024-11-04,RideShare,296.75
2024-08-24,Streaming Service,303.69
2024-06-18,Coffee Shop,222.05
2024-02-05,Grocery,182.02
2024-07-27,Streaming Service,362.17
2024-02-06,Pharmacy,383.36
2024-10-02,Fuel,106.98
2024-09-30,Grocery,327.75
2024-01-31,Restaurant,328.31
2024-01-21,Gym,427.39
2024-11-18,RideShare,-375.94
2024-03-15,Restaurant,79.81
2024-02-27,Coffee Shop,156.54
2024-03-13,Online Store,-289.92
2024-02-19,Gym,-425.93
2024-12-29,RideShare,256.98
2024-06-24,Restaurant,-169.34
2024-08-18,Restaurant,94.43
2024-03-12,Coffee Shop,-474.06
2024-07-08,Utilities,-208.78
2024-03-22,Utilities,-24.72
2024-08-13,Restaurant,305.2
2024-03-06,Coffee Shop,359.15
2024-05-11,"Online Store, Special",-288.34
2024-06-04,Coffee Shop,-240.58
2024-09-17,Streaming Service,118.46
2024-03-28,Gym,87.14
2024-09-13,Gym,-122.02
2024-09-05,Coffee Shop,-17.95
2024-09-04,"Pharmacy, Special",446.95
2024-06-24,Online Store,-275.69
2024-05-22,Utilities,289.27
2024-11-28,Online Store,-40.68
2024-11-22,Grocery,345.75
2024-09-25,Online Store,-136.44
2024-01-17,Pharmacy,452.03
2024-09-16,Fuel,461.66
2024-10-02,Fuel,-444.03
2024-10-17,Streaming Service,-243.93
2024-04-03,Online Store,217.38
2024-03-31,Grocery,-234.24
2024-05-22,Fuel,233.34
2024-02-02,Coffee Shop,-439.13
2024-04-26,Online Store,81.27
2024-08-25,Fuel,281.41
2024-06-12,Fuel,-383.59
2024-02-12,RideShare,42.37
2024-04-20,Utilities,69.33
2024-10-24,Pharmacy,-388.48
2024-08-14,Online Store,134.93
2024-08-21,Grocery,-92.83
2024-05-18,RideShare,-171.36
2024-09-04,Streaming Service,145.28
2024-05-15,Streaming Service,-224.71
2024-10-14,Streaming Service,-59.96
2024-04-03,"RideShare, Special",393.37
2024-09-17,RideShare,-321.2
2024-08-09,Restaurant,362.03
2024-06-24,Streaming Service,-306.4
2024-02-25,Online Store,1.78
2024-06-12,Streaming Service,184.75
2024-11-08,Online Store,-345.4
2024-03-21,Online Store,285.81
2024-03-21,Utilities,-174.32
2024-09-21,RideShare,288.75
2024-05-17,Online Store,-28.02
2024-06-04,Gym,-166.28
2024-06-30,Gym,-74.7
2024-07-20,"Pharmacy, Special",439.99
2024-01-29,Pharmacy,305.37
2024-08-21,"Restaurant, Special",204.34
2024-04-16,Restaurant,-126.52
2024-06-13,Pharmacy,-174.31
2024-10-13,Online Store,117.56
2024-08-13,Restaurant,-256.86
2024-06-15,RideShare,92.94
2024-01-24,Pharmacy,408.89
2024-09-06,Online Store,106.7
2024-07-11,Grocery,139.63
2024-05-21,Streaming Service,423.61
2024-02-26,RideShare,249.83
2024-06-15,Pharmacy,373.95
2024-10-28,Restaurant,61.84
2024-08-12,Online Store,46.59
2024-12-04,Restaurant,317.31
2024-12-19,Grocery,269.91
2024-12-24,Gym,-138.77
2024-08-16,Online Store,-31.67
2024-08-23,Gym,177.67
2024-12-26,Restaurant,247.65
2024-01-12,Coffee Shop,-89.22
2024-07-21,RideShare,331.67
2024-01-31,Streaming Service,65.71
2024-01-17,Streaming Service,-172.93
2024-10-02,RideShare,-166.25
2024-02-04,Fuel,474.23
2024-02-27,Streaming Service,13.5
2024-02-14,Utilities,110.03
2024-04-07,Fuel,-69.05
2024-05-21,RideShare,380.54
2024-03-18,Gym,147.84
2024-06-22,RideShare,192.59
2024-08-09,Grocery,-206.19
2024-11-15,"Pharmacy, Special",-274.77
2024-08-06,Coffee Shop,-277.11
2024-12-11,Gym,153.61
2024-04-12,Utilities,393.24
2024-10-22,Coffee Shop,-351.72
2024-06-06,Coffee Shop,33.42
2024-01-21,Coffee Shop,454.66
2024-06-16,Gym,158.17
2024-04-13,Restaurant,491.0
2024-04-29,Online Store,-472.7
2024-08-13,Fuel,-124.89
2024-08-15,Online Store,-53.19
2024-07-23,Online Store,-119.5
2024-03-04,Fuel,6.7
2024-10-23,Streaming Service,256.61
2024-03-02,RideShare,-141.61
2024-06-11,Pharmacy,485.15
2024-09-16,Gym,8.74
2024-08-21,"Grocery, Special",303.41
2024-07-23,Fuel,445.73
2024-02-03,Pharmacy,152.0
2024-04-27,Fuel,310.17
2024-08-29,Grocery,-225.28
2024-11-27,"Gym, Special",347.41
2024-03-31,"Utilities, Special",18.62
2024-03-12,RideShare,-438.82
2024-04-17,Restaurant,-85.12
2024-03-21,Pharmacy,436.29
2024-03-18,Coffee Shop,424.95
2024-03-24,Grocery,-193.94
2024-11-16,Gym,-234.82
2024-06-13,Grocery,-168.42
2024-08-28,Grocery,-355.66
2024-07-27,Grocery,262.5
2024-09-25,Coffee Shop,-485.06
2024-04-24,Fuel,-433.67
2024-08-31,RideShare,356.14
2024-10-01,RideShare,103.27
2024-11-22,Grocery,-30.51
2024-05-11,Coffee Shop,39.99
2024-11-10,Fuel,248.72
2024-10-19,Online Store,14.73
2024-03-14,Online Store,243.19
2024-07-25,Restaurant,-394.77
2024-04-25,Restaurant,159.37
2024-06-17,RideShare,19.92
2024-10-22,Restaurant,-368.29
2024-08-04,Gym,79.37
2024-01-18,Pharmacy,294.19
2024-04-03,Grocery,-465.89
2024-05-01,Coffee Shop,-488.29
2024-09-03,RideShare,-312.25
2024-10-22,Pharmacy,-285.16
2024-11-14,Restaurant,-382.18
2024-05-23,Streaming Service,-162.75
2024-04-05,Restaurant,371.97
2024-10-08,RideShare,168.01
2024-06-24,Streaming Service,281.95
2024-08-06,Grocery,-373.77
2024-04-26,RideShare,-379.72
2024-12-30,Restaurant,-152.38
2024-08-19,Pharmacy,439.55
2024-09-15,Coffee Shop,441.25
2024-09-18,Online Store,180.57
2024-01-09,Online Store,-146.06
2024-11-03,Coffee Shop,30.56
2024-01-25,Streaming Service,-269.58
2024-09-28,Coffee Shop,-399.86
2024-03-25,Utilities,430.65
2024-03-18,Streaming Service,109.67
2024-04-13,"Restaurant, Special",469.15
2024-07-24,Restaurant,21.75
2024-08-03,RideShare,-363.88
2024-06-02,Grocery,208.34
2024-12-08,Restaurant,233.46
2024-10-31,Fuel,-89.62
2024-03-14,RideShare,264.59
2024-05-04,Pharmacy,146.08
2024-07-19,Utilities,334.33
2024-02-06,Online Store,-223.78
2024-07-24,Fuel,85.93
2024-12-10,Coffee Shop,-357.59
2024-05-21,"Gym, Special",-382.71
2024-06-08,Streaming Service,128.55
2024-08-29,Online Store,-201.18
2024-03-04,Streaming Service,-45.63
2024-02-06,Gym,449.49
2024-01-21,Pharmacy,-244.55
2024-11-16,RideShare,-331.54
2024-12-29,RideShare,-275.37
2024-02-22,Fuel,103.32
2024-11-02,Gym,349.97
2024-09-10,Pharmacy,138.06
2024-05-23,Restaurant,140.27
2024-06-17,Pharmacy,-248.75
2024-07-01,"Fuel, Special",213.1
2024-09-05,Online Store,-278.61
2024-08-10,Restaurant,280.92
2024-12-28,RideShare,337.41
2024-07-11,Utilities,425.24
2024-07-14,Grocery,90.34
2024-11-25,Fuel,-382.53
2024-05-02,Gym,209.31
2024-11-05,Pharmacy,218.29
2024-01-21,Gym,-59.75
2024-08-23,Utilities,-462.72
2024-07-23,Pharmacy,-474.36
2024-10-17,"Coffee Shop, Special",445.95
2024-02-20,Restaurant,301.9
2024-08-21,Restaurant,183.01
2024-06-29,Online Store,283.71
2024-06-15,RideShare,134.81
2024-03-23,Online Store,363.48
2024-11-27,Gym,253.32
2024-03-29,RideShare,-166.24
2024-11-11,Streaming Service,336.24
2024-04-26,Gym,-398.7
2024-02-16,Pharmacy,-2.81
2024-04-05,Pharmacy,355.98
2024-09-05,Gym,-62.23
2024-07-04,Coffee Shop,-177.24
2024-02-27,Online Store,408.83
2024-12-24,Streaming Service,59.92
2024-04-01,Pharmacy,-424.06
2024-02-17,Fuel,414.7
